epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1457.85,1.01082,0.48494,0.79947,0.90162,0.70575,0.77901,0.52461,0.86535,0.43027,0.7878,0.000569375,0.000569375,0.000569375
57,1483.82,1.04467,0.49575,0.79869,0.88688,0.70157,0.76997,0.51058,0.92273,0.4471,0.7903,0.000557,0.000557,0.000557
58,1509.53,1.03649,0.49285,0.79723,0.89317,0.71329,0.77063,0.51567,0.89235,0.43963,0.7888,0.000544625,0.000544625,0.000544625
59,1535.37,1.00228,0.47552,0.80154,0.87408,0.72316,0.77611,0.52554,0.86557,0.42308,0.78859,0.00053225,0.00053225,0.00053225
60,1561.35,1.00045,0.47804,0.7975,0.88758,0.71382,0.77972,0.52657,0.86906,0.42675,0.78875,0.000519875,0.000519875,0.000519875
61,1587.06,1.00269,0.47726,0.79754,0.89981,0.71733,0.78055,0.52556,0.85685,0.42385,0.78698,0.0005075,0.0005075,0.0005075
62,1613.54,0.99924,0.47584,0.79689,0.92339,0.6959,0.77038,0.5196,0.84955,0.42349,0.78795,0.000495125,0.000495125,0.000495125
63,1639.36,1.02302,0.4859,0.7988,0.89922,0.70832,0.77988,0.52495,0.87274,0.42533,0.78885,0.00048275,0.00048275,0.00048275
64,1665.01,1.00297,0.47757,0.79927,0.90281,0.71761,0.76095,0.49663,0.90027,0.43636,0.7888,0.000470375,0.000470375,0.000470375
65,1690.88,0.98034,0.47153,0.79653,0.92042,0.70524,0.77528,0.52357,0.85245,0.41955,0.78703,0.000458,0.000458,0.000458
66,1716.76,1.01326,0.47702,0.7973,0.89857,0.71476,0.77222,0.53081,0.85403,0.42134,0.78596,0.000445625,0.000445625,0.000445625
67,1742.52,0.99186,0.46635,0.79639,0.89164,0.71426,0.78139,0.53064,0.85654,0.41763,0.78737,0.00043325,0.00043325,0.00043325
68,1768.72,0.98269,0.4644,0.79782,0.87835,0.72098,0.78018,0.52888,0.85741,0.4213,0.78692,0.000420875,0.000420875,0.000420875
69,1794.45,0.98345,0.46439,0.79682,0.9181,0.70928,0.78142,0.53947,0.83426,0.40672,0.78681,0.0004085,0.0004085,0.0004085
70,1820.42,0.97943,0.46439,0.79638,0.91791,0.7009,0.78314,0.53473,0.84018,0.41101,0.78662,0.000396125,0.000396125,0.000396125
71,1846.47,0.97299,0.45708,0.79294,0.91192,0.71679,0.78506,0.54277,0.82938,0.40589,0.78637,0.00038375,0.00038375,0.00038375
72,1871.73,0.97782,0.46373,0.79321,0.92519,0.70427,0.77807,0.52794,0.85083,0.41771,0.78769,0.000371375,0.000371375,0.000371375
73,1898,0.97824,0.46405,0.79637,0.89641,0.71527,0.7845,0.53696,0.83175,0.4049,0.78614,0.000359,0.000359,0.000359
74,1923.94,0.9631,0.45543,0.79636,0.91415,0.71296,0.78511,0.53661,0.84853,0.40987,0.78615,0.000346625,0.000346625,0.000346625
75,1949.65,0.98488,0.46126,0.79667,0.90028,0.72358,0.78174,0.53819,0.82868,0.40474,0.78591,0.00033425,0.00033425,0.00033425
76,1975.33,0.98695,0.46249,0.79477,0.92574,0.7122,0.78279,0.53962,0.8226,0.40465,0.78535,0.000321875,0.000321875,0.000321875
77,2000.88,0.9813,0.45809,0.79526,0.89897,0.72226,0.78671,0.54393,0.82367,0.39948,0.78599,0.0003095,0.0003095,0.0003095
78,2027.32,0.96079,0.45347,0.79168,0.91284,0.72421,0.78685,0.54349,0.81153,0.39808,0.78461,0.000297125,0.000297125,0.000297125
79,2052.77,0.95419,0.44986,0.79187,0.90239,0.71921,0.7865,0.54374,0.80876,0.40201,0.78396,0.00028475,0.00028475,0.00028475
80,2077.93,0.97367,0.45629,0.79445,0.88108,0.72199,0.78746,0.54253,0.81961,0.4015,0.78492,0.000272375,0.000272375,0.000272375
81,2103.54,0.9643,0.45066,0.79536,0.87428,0.73014,0.79706,0.54158,0.83499,0.40495,0.78607,0.00026,0.00026,0.00026
82,2129.25,0.96409,0.45174,0.79219,0.88214,0.72092,0.7914,0.54856,0.80206,0.39247,0.78426,0.000247625,0.000247625,0.000247625
83,2155.28,0.97958,0.45719,0.79417,0.85979,0.73012,0.78782,0.55085,0.80441,0.39354,0.7844,0.00023525,0.00023525,0.00023525
84,2181.11,0.94395,0.44428,0.79321,0.90749,0.71521,0.78648,0.548,0.79652,0.38855,0.78368,0.000222875,0.000222875,0.000222875
85,2206.6,0.94231,0.44175,0.79312,0.86639,0.7282,0.78967,0.54626,0.81394,0.39436,0.78498,0.0002105,0.0002105,0.0002105
86,2232.4,0.9385,0.43879,0.79302,0.86728,0.73898,0.79316,0.55108,0.80184,0.3896,0.78414,0.000198125,0.000198125,0.000198125
87,2258.1,0.92589,0.434,0.79394,0.87574,0.72357,0.78941,0.5557,0.79698,0.38548,0.78455,0.00018575,0.00018575,0.00018575
88,2283.57,0.94195,0.4374,0.79286,0.88021,0.72789,0.79139,0.55728,0.79115,0.38595,0.78361,0.000173375,0.000173375,0.000173375
89,2309.6,0.92494,0.43105,0.79123,0.8661,0.73362,0.789,0.55189,0.79981,0.38546,0.78443,0.000161,0.000161,0.000161
90,2335.29,0.93038,0.43406,0.79136,0.8769,0.73525,0.79227,0.55694,0.78953,0.38389,0.78366,0.000148625,0.000148625,0.000148625
91,2363.13,0.88011,0.42338,0.79018,0.89953,0.71943,0.7832,0.54086,0.81349,0.4031,0.78346,0.00013625,0.00013625,0.00013625
92,2388.47,0.87585,0.42107,0.79245,0.88812,0.72294,0.78889,0.54346,0.81453,0.39618,0.78442,0.000123875,0.000123875,0.000123875
93,2413.42,0.87616,0.41499,0.79157,0.8929,0.71963,0.78655,0.54177,0.81189,0.39357,0.78437,0.0001115,0.0001115,0.0001115
94,2438.99,0.84722,0.40467,0.78944,0.88623,0.72399,0.78942,0.54561,0.81187,0.38928,0.78419,9.9125e-05,9.9125e-05,9.9125e-05
95,2464.17,0.8581,0.40812,0.79015,0.87367,0.73039,0.79088,0.54849,0.80116,0.3861,0.78397,8.675e-05,8.675e-05,8.675e-05
96,2489.38,0.84431,0.40297,0.79143,0.86879,0.73533,0.79382,0.5478,0.80039,0.3858,0.78407,7.4375e-05,7.4375e-05,7.4375e-05
97,2515.13,0.85305,0.4044,0.78998,0.88571,0.72875,0.79326,0.5483,0.79689,0.38382,0.78358,6.2e-05,6.2e-05,6.2e-05
98,2539.81,0.83567,0.40245,0.78795,0.88664,0.73419,0.79461,0.55161,0.79333,0.38086,0.7835,4.9625e-05,4.9625e-05,4.9625e-05
99,2564.57,0.83201,0.39854,0.7914,0.89361,0.73632,0.7976,0.55306,0.78839,0.38071,0.78311,3.725e-05,3.725e-05,3.725e-05
100,2589.17,0.82461,0.39349,0.78922,0.89092,0.73337,0.79832,0.55276,0.78809,0.37903,0.78356,2.4875e-05,2.4875e-05,2.4875e-05
